Epoca,MSE,Accuracy
1,0.4989618449164722,0.47912087912087914
2,0.482350631341501,0.4901098901098901
3,0.4477564541627344,0.5230769230769231
4,0.3747317946372941,0.5912087912087912
5,0.3437889907218501,0.6241758241758242
6,0.35019454842740133,0.6197802197802198
7,0.31453697200803066,0.6571428571428571
8,0.3157343325270973,0.6527472527472528
9,0.2973057123295528,0.6703296703296703
10,0.2883973532095757,0.6791208791208792
11,0.28138413957719965,0.6835164835164835
12,0.26937743651983453,0.7054945054945055
13,0.26219975329011236,0.7186813186813187
14,0.2589681672026655,0.7252747252747253
15,0.24358862320058336,0.734065934065934
16,0.2573147379453311,0.7164835164835165
17,0.25870691668250423,0.7164835164835165
18,0.24716125899867442,0.7318681318681318
19,0.2277457045417957,0.7538461538461538
20,0.23220767720824587,0.7450549450549451
21,0.24498264780529605,0.7252747252747253
22,0.2260966377860068,0.756043956043956
23,0.2232119846142581,0.7582417582417582
24,0.22959513976541515,0.7428571428571429
25,0.2309262469870886,0.7450549450549451
26,0.22951861147749406,0.7450549450549451
27,0.22824544478843967,0.7538461538461538
28,0.2200916733538198,0.7516483516483516
29,0.2158132635944037,0.756043956043956
30,0.22289656723179835,0.7494505494505495
31,0.22380042202444783,0.7428571428571429
32,0.20944056202529546,0.7538461538461538
33,0.21016245100330205,0.7604395604395604
34,0.2096792476726734,0.7582417582417582
35,0.2080037771410182,0.7648351648351648
36,0.2063327656534408,0.7714285714285715
37,0.21153668374636878,0.7648351648351648
38,0.20452062154289521,0.7736263736263737
39,0.21180529823867952,0.7648351648351648
40,0.2103537378489399,0.7714285714285715
41,0.20705240548664455,0.7736263736263737
42,0.21258572929066946,0.7626373626373626
43,0.2010879975584117,0.7736263736263737
44,0.21158541582441842,0.7604395604395604
45,0.197409223188989,0.7824175824175824
46,0.19627712912862483,0.7824175824175824
47,0.19477583080954972,0.7868131868131868
48,0.19306061778413777,0.7846153846153846
49,0.19017560608292333,0.7934065934065934
50,0.19137029412339657,0.7868131868131868
51,0.19069794475695176,0.7912087912087912
52,0.1984985817679258,0.7824175824175824
53,0.1939302504029626,0.789010989010989
54,0.19144906664130548,0.7934065934065934
55,0.1888673184203635,0.8
56,0.19546747191286482,0.7846153846153846
57,0.20048949703367183,0.7802197802197802
58,0.20043489895546837,0.7802197802197802
59,0.2077428065839921,0.7758241758241758
60,0.20375702266266318,0.7802197802197802
61,0.20416650948635262,0.7802197802197802
62,0.20192635560404237,0.7824175824175824
63,0.19607241236931724,0.7912087912087912
64,0.19559657111538944,0.7934065934065934
65,0.18830054537673638,0.7956043956043956
66,0.1909370421379821,0.7978021978021979
67,0.1956054058795767,0.7846153846153846
68,0.1987587893136535,0.7846153846153846
69,0.19827535173240884,0.7824175824175824
70,0.203870919827571,0.7736263736263737
71,0.19334370512855556,0.7912087912087912
72,0.1998914014185243,0.7868131868131868
73,0.2015016292907231,0.7824175824175824
74,0.18913115513653064,0.7956043956043956
75,0.18950893939910754,0.8
76,0.18563637408457856,0.8043956043956044
77,0.1876300406389874,0.7978021978021979
78,0.19012924450471613,0.7934065934065934
79,0.18943494004872788,0.7956043956043956
80,0.18930174264559718,0.7934065934065934
81,0.19626223451718114,0.7912087912087912
82,0.19311692646326278,0.7934065934065934
83,0.19253453699336634,0.7978021978021979
84,0.19167293944454628,0.7956043956043956
85,0.1917309522964564,0.7934065934065934
86,0.1915092729777219,0.7934065934065934
87,0.19251418882655316,0.7868131868131868
88,0.1911478687454085,0.789010989010989
89,0.19145737964185855,0.7912087912087912
90,0.1972840605980131,0.7824175824175824
91,0.19820132009435312,0.7846153846153846
92,0.19263849585391365,0.7934065934065934
93,0.19797546766430527,0.789010989010989
94,0.19808577502292032,0.7868131868131868
95,0.1955431789253733,0.789010989010989
96,0.20149912604012915,0.778021978021978
97,0.19292626684913677,0.789010989010989
98,0.18989178960415254,0.7912087912087912
99,0.18725639102859207,0.7934065934065934
100,0.1954408191515138,0.7846153846153846
